"Register Order %1 in Ingenico ePayments \n\nAll form fields: %2\nIngenico ePayments String to hash: %3\nHash: %4","Register Order %1 in Ingenico ePayments \n\nAll form fields: %2\nIngenico ePayments String to hash: %3\nHash: %4"
"Customer got redirected to Ingenico ePayments for %1. Awaiting feedback.","Customer got redirected to Ingenico ePayments for %1. Awaiting feedback."
"The order can not be accepted via Magento. For the actual status of the payment check the Ingenico ePayments backend.","The order can not be accepted via Magento. For the actual status of the payment check the Ingenico ePayments backend."
"Order has been canceled permanently in Magento. Changes in Ingenico ePayments platform will no longer be considered.","Order has been canceled permanently in Magento. Changes in Ingenico ePayments platform will no longer be considered."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement.","There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement."
"The order was cancelled manually. The Ingenico ePayments-state is 0 or null.","The order was cancelled manually. The Ingenico ePayments-state is 0 or null."
"Please use void to cancel the operation.","Please use void to cancel the operation."
"Status %1 can not be voided.","Status %1 can not be voided."
"You already sent a capture request. Please wait until the capture request is acknowledged.","You already sent a capture request. Please wait until the capture request is acknowledged."
"There is one void request waiting. Please wait until this request is acknowledged.","There is one void request waiting. Please wait until this request is acknowledged."
"Validation failed %1","Validation failed %1"
"Can not handle status %1.","Can not handle status %1."
"%1 is not a authorize status!","%1 is not a authorize status!"
"Please have a look in Ingenico ePayments backend for more information.","Please have a look in Ingenico ePayments backend for more information."
"Payment failed because the authorization was declined! Please choose another payment method.","Payment failed because the authorization was declined! Please choose another payment method."
"Order does not allow to be canceled.","Order does not allow to be canceled."
"%1 is not a capture status!","%1 is not a capture status!"
"%1 is not a refund status!","%1 is not a refund status!"
"Refund refused by Ingenico ePayments.","Refund refused by Ingenico ePayments."
"Could not cancel creditmemo","Could not cancel creditmemo"
"%1 is not a special status!","%1 is not a special status!"
"Customer redirected for 3DS authorization.","Customer redirected for 3DS authorization."
"Customer received your payment instructions, waiting for actual payment.","Customer received your payment instructions, waiting for actual payment."
"Ingenico ePayments status 0, the action failed.","Ingenico ePayments status 0, the action failed."
"Received Ingenico ePayments feedback status update with final status %1.","Received Ingenico ePayments feedback status update with final status %1."
"Received Ingenico ePayments feedback status update with intermediate status %1.","Received Ingenico ePayments feedback status update with intermediate status %1."
"Received Ingenico ePayments feedback status update with refused status %1.","Received Ingenico ePayments feedback status update with refused status %1."
"Received Ingenico ePayments feedback status update with suspected fraud status %1.","Received Ingenico ePayments feedback status update with suspected fraud status %1."
"%1 is not a void status!","%1 is not a void status!"
"Received Ingenico ePayments status %1. Order cancelled.","Received Ingenico ePayments status %1. Order cancelled."
"Order could not be found.","Order could not be found."
value,value
"Food & gastronomy","Food & gastronomy"
"Car & Motorbike","Car & Motorbike"
"Culture & leisure","Culture & leisure"
"Home & garden","Home & garden"
Appliances,Appliances
"Auctions and bulk purchases","Auctions and bulk purchases"
"Flowers & gifts","Flowers & gifts"
"Computer & software","Computer & software"
"Health & beauty","Health & beauty"
"Services for individuals","Services for individuals"
"Services for professionals","Services for professionals"
Sports,Sports
"Clothing & accessories","Clothing & accessories"
"Travel & tourism","Travel & tourism"
"Hifi, photo & video","Hifi, photo & video"
"Telephony & communication","Telephony & communication"
"Jewelry & precious metals","Jewelry & precious metals"
"Baby articles and accessories","Baby articles and accessories"
"Sound & light","Sound & light"
"--Please select--","--Please select--"
"Pick up at merchant","Pick up at merchant"
"Collection point (Kiala...)","Collection point (Kiala...)"
"Collect at airport, train station or travel agency","Collect at airport, train station or travel agency"
"Transporter (La Poste, UPS...)","Transporter (La Poste, UPS...)"
Download,Download
%1,%1
"quote id","quote id"
"order id","order id"
Authorization,Authorization
"Direct Sale","Direct Sale"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"Verical list","Verical list"
"Ingenico ePayments - Redirect mode","Ingenico ePayments - Redirect mode"
"Magento - internal shop template","Magento - internal shop template"
"Ingenico ePayments - iFrame mode","Ingenico ePayments - iFrame mode"
"Ingenico ePayments - Dynamic template","Ingenico ePayments - Dynamic template"
"'%1' .","'%1' ."
"No update available from Ingenico ePayments.","No update available from Ingenico ePayments."
"Ingenico ePayments status successfully updated","Ingenico ePayments status successfully updated"
UTF-8,UTF-8
Other,Other
"Can not save empty title or PM fields","Can not save empty title or PM fields"
"PM and Brand combination must be unique","PM and Brand combination must be unique"
SHA-1,SHA-1
SHA-256,SHA-256
SHA-512,SHA-512
"Brands must be unique","Brands must be unique"
Left,Left
Right,Right
Hidden,Hidden
"value exceeds %d characters","value exceeds %d characters"
