"Toggle Mute All Media","Toggle Mute All Media"
"Last Slide","Last Slide"
"Simulate Click","Simulate Click"
"Toggle FullScreen","Toggle FullScreen"
"Go FullScreen","Go FullScreen"
"Exit FullScreen","Exit FullScreen"
"Toogle Class","Toogle Class"
"Copy hover styles to idle?","Copy hover styles to idle?"
"Copy idle styles to hover?","Copy idle styles to hover?"
"Please select at least one device type","Please select at least one device type"
"Please select an existing Style Template","Please select an existing Style Template"
"Can not remove last transition!","Can not remove last transition!"
"Given animation name is a default animation. These can not be changed.","Given animation name is a default animation. These can not be changed."
"Animation exists, override existing animation?","Animation exists, override existing animation?"
"This feature is only available if you activate Slider Revolution for this installation","This feature is only available if you activate Slider Revolution for this installation"
"Unsaved data will be lost, proceed?","Unsaved data will be lost, proceed?"
"This will delete this Slide Template, proceed?","This will delete this Slide Template, proceed?"
"is Loading...","is Loading..."
"Google Fonts Loaded","Google Fonts Loaded"
"Delete Layer?","Delete Layer?"
"This template requires at least version","This template requires at least version"
"of Slider Revolution to work.","of Slider Revolution to work."
"Slider Revolution Shortcode Creator","Slider Revolution Shortcode Creator"
"Slider informations are missing!","Slider informations are missing!"
"Shortcode Generator","Shortcode Generator"
"Please add at least one Layer.","Please add at least one Layer."
"Choose Image","Choose Image"
"Shortcode parsing successfull. Items can be found in step 3","Shortcode parsing successfull. Items can be found in step 3"
"Shortcode could not be parsed.","Shortcode could not be parsed."
"Background Video","Background Video"
"Video in Active Slide","Video in Active Slide"
"Data could not be fetched for selected Slider","Data could not be fetched for selected Slider"
"Import Selected Layer?","Import Selected Layer?"
"Layer Imported! The Layer has actions which include other Layers. Import all connected layers?","Layer Imported! The Layer has actions which include other Layers. Import all connected layers?"
"Not available in Demo Mode","Not available in Demo Mode"
"By leaving now, all changes since the last saving will be lost. Really leave now?","By leaving now, all changes since the last saving will be lost. Really leave now?"
"--- Static Layers ---","--- Static Layers ---"
"Only available if plugin is activated","Only available if plugin is activated"
"Download/Install takes longer than usual, please wait","Download/Install takes longer than usual, please wait"
"<div class=""import_failure"">Download/Install seems to have failed.</div><br>Please check your server <span class=""import_failure"">download speed</span> and  if the server can programatically connect to <span class=""import_failure"">http://templates.themepunch.com</span><br><br>","<div class=""import_failure"">Download/Install seems to have failed.</div><br>Please check your server <span class=""import_failure"">download speed</span> and  if the server can programatically connect to <span class=""import_failure"">http://templates.themepunch.com</span><br><br>"
"<b>Aborting Import...</b>","<b>Aborting Import...</b>"
"Creating Draft Page...","Creating Draft Page..."
"Draft Page created. Popup will open","Draft Page created. Popup will open"
"Draft Page could not be created.","Draft Page could not be created."
"Slider import successful","Slider import successful"
"Save Changes?","Save Changes?"
"(never show this message again)&nbsp;&nbsp;<b>X</b>","(never show this message again)&nbsp;&nbsp;<b>X</b>"
"Hi! Would you like to activate your version of Revolution Slider to receive live updates & get premium support? This is optional and not needed if the slider came bundled with a theme. ","Hi! Would you like to activate your version of Revolution Slider to receive live updates & get premium support? This is optional and not needed if the slider came bundled with a theme. "
"Hi, your Purchase Code for Slider Revolution has been deregistered manually through <a href=""https://www.themepunch.com/purchase-code-deactivation"" target=""_blank"">https://www.themepunch.com/purchase-code-deactivation</a> and is no longer active for this installation.","Hi, your Purchase Code for Slider Revolution has been deregistered manually through <a href=""https://www.themepunch.com/purchase-code-deactivation"" target=""_blank"">https://www.themepunch.com/purchase-code-deactivation</a> and is no longer active for this installation."
"Hi, your Purchase Code for Slider Revolution has been deregistered as it was not a valid Slider Revolution Purchase Code","Hi, your Purchase Code for Slider Revolution has been deregistered as it was not a valid Slider Revolution Purchase Code"
"Close & don't show again<b>X</b>","Close & don't show again<b>X</b>"
"Choose Slide Template","Choose Slide Template"
"ID missing, something went wrong. Please try again!","ID missing, something went wrong. Please try again!"
"Slider Import Success","Slider Import Success"
"Could not download from server. Please try again later!","Could not download from server. Please try again later!"
"Could not download package. Please try again later!","Could not download package. Please try again later!"
"Slider not found","Slider not found"
"Slider setting could not be changed","Slider setting could not be changed"
"Function Not Available in Demo Mode","Function Not Available in Demo Mode"
"Function Only Available for Adminstrators","Function Only Available for Adminstrators"
"Missing values to add preset","Missing values to add preset"
"Preset created","Preset created"
"Missing values to update preset","Missing values to update preset"
"Missing values to remove preset","Missing values to remove preset"
"Preset deleted","Preset deleted"
"Slider created","Slider created"
"Slider updated","Slider updated"
"Template can't be deleted, it is still being used by the following Sliders: ","Template can't be deleted, it is still being used by the following Sliders: "
"Slider deleted","Slider deleted"
"Success! Refreshing page...","Success! Refreshing page..."
"Slide Created","Slide Created"
"Slides Created","Slides Created"
"Slide Created, redirecting...","Slide Created, redirecting..."
"Missing redirect ID!","Missing redirect ID!"
"Slide copied to current Slider, redirecting...","Slide copied to current Slider, redirecting..."
"Slide updated","Slide updated"
"Static Global Layers updated","Static Global Layers updated"
"Post deleted","Post deleted"
"Slide deleted","Slide deleted"
"Slide duplicated","Slide duplicated"
Success!,Success!
"No valid Slide ID given","No valid Slide ID given"
"No valid title given","No valid title given"
"Could not save Slide as Template","Could not save Slide as Template"
"Slide added to Templates","Slide added to Templates"
"Slider CSS saved","Slider CSS saved"
"Style name is empty. CSS not saved.","Style name is empty. CSS not saved."
"Style name should start with alphabetic charcter. CSS not saved.","Style name should start with alphabetic charcter. CSS not saved."
"CSS saved","CSS saved"
"CSS could not be saved","CSS could not be saved"
"Class name renamed","Class name renamed"
"Style deleted!","Style deleted!"
"Animation saved","Animation saved"
"Animation deleted","Animation deleted"
"Order updated","Order updated"
"Title updated","Title updated"
"Slide changed","Slide changed"
"Static Slide","Static Slide"
"Navigation preset saved/updated","Navigation preset saved/updated"
"Preset could not be saved/values are the same","Preset could not be saved/values are the same"
"Navigation preset deleted","Navigation preset deleted"
"Slide is now the new active Hero Slide","Slide is now the new active Hero Slide"
"General settings updated","General settings updated"
"Database structure creation/update done","Database structure creation/update done"
"Sortby updated","Sortby updated"
"All Urls replaced","All Urls replaced"
"Settings in all Slides changed","Settings in all Slides changed"
"Missing Slide ID!","Missing Slide ID!"
"The Purchase Code and the E-Mail address need to be set!","The Purchase Code and the E-Mail address need to be set!"
"Purchase Code Successfully Activated","Purchase Code Successfully Activated"
"Purchase Code is invalid","Purchase Code is invalid"
"Purchase Code Temporary Activated","Purchase Code Temporary Activated"
"Purchase Code already registered!","Purchase Code already registered!"
"Purchase Code could not be validated","Purchase Code could not be validated"
"Successfully removed validation","Successfully removed validation"
"Could not remove Validation!","Could not remove Validation!"
"Setting Changed!","Setting Changed!"
"No ID given","No ID given"
"Navigation saved/updated","Navigation saved/updated"
"Navigations updated","Navigations updated"
"Navigation deleted","Navigation deleted"
"Wrong ID given","Wrong ID given"
"Successfully fetched Facebook albums","Successfully fetched Facebook albums"
"Could not fetch Facebook albums","Could not fetch Facebook albums"
"Cleared Albums","Cleared Albums"
"Successfully fetched flickr photosets","Successfully fetched flickr photosets"
"Could not fetch flickr photosets","Could not fetch flickr photosets"
"Cleared Photosets","Cleared Photosets"
"No User URL - Could not fetch flickr photosets","No User URL - Could not fetch flickr photosets"
"No API KEY - Could not fetch flickr photosets","No API KEY - Could not fetch flickr photosets"
"Successfully fetched YouTube playlists","Successfully fetched YouTube playlists"
"Could not fetch YouTube playlists","Could not fetch YouTube playlists"
"Object could not be loaded","Object could not be loaded"
"No Data Received","No Data Received"
"Loading Error","Loading Error"
"Loading Error: ","Loading Error: "
"Add-On updated.","Add-On updated."
